date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,24.8,20.7,29.1,2.3,,344,14.4,,1004.1,
2022-01-02,24.7,19.2,29.7,1.5,,16,9.6,,1005.1,
2022-01-03,27.9,24.1,31.7,6.7,,81,12.5,,1007.1,
2022-01-04,28.2,24.8,32.6,3.9,,236,18.3,,1005.9,
2022-01-05,21.7,16.7,31.7,0,,118,24.2,,1015.5,
2022-01-06,22.1,18.8,25.7,0,,78,22.7,,1016.7,
2022-01-07,23.8,20.6,26.6,0,,67,20.6,,1016.3,
2022-01-08,24.4,21.8,27.1,0,,79,21.9,,1015.6,
2022-01-09,24.9,20.9,29.5,0,,64,19.6,,1014.6,
2022-01-10,26.9,22.8,31.3,0,,44,11.5,,1011.9,
2022-01-11,29.4,24.7,34.9,0.1,,355,13.5,,1009.1,
2022-01-12,26.1,22,36,0,,111,23.5,,1013.9,
2022-01-13,26.9,22.8,32.3,0,,61,15.6,,1012.7,
2022-01-14,30.2,25.4,36.2,0,,12,10.8,,1009.5,
2022-01-15,31.3,27.2,37,0.9,,360,11.1,,1006.7,
2022-01-16,27.2,22.3,35.6,4.8,,303,13.5,,1003.5,
2022-01-17,25.2,20.9,32.4,29.1,,127,21.6,,1007.8,
2022-01-18,23.8,22.8,27.5,17.1,,91,32,,1014.6,
2022-01-19,23.8,21.1,26.2,0.8,,109,25.2,,1015.8,
2022-01-20,25.3,21.8,28.4,0,,106,25.1,,1013.8,
2022-01-21,26.4,24.5,29,6.6,,86,17.5,,1008.7,
2022-01-22,24.9,21.7,29.3,14,,143,15.3,,1007.5,
2022-01-23,23.6,20.8,28.6,0,,218,6.6,,1010.3,
2022-01-24,25.8,22.3,28.7,0,,72,9.4,,1011.2,
2022-01-25,26.9,25.3,28.9,13.2,,92,11.5,,1008.9,
2022-01-26,25.7,18.7,29.7,3,,159,17.3,,1010.4,
2022-01-27,19.2,14.8,28.3,0,,133,21.6,,1020.2,
2022-01-28,20.2,16.5,24.1,0.1,,92,12.3,,1017.1,
2022-01-29,23.3,20,26.7,0,,41,15.4,,1013.4,
2022-01-30,25.2,21.8,28.3,0,,357,18.2,,1009.1,
2022-01-31,23.7,18.8,28.6,0,,152,16.3,,1010.9,
2022-02-01,22.1,18.8,27.5,0,,26,14.5,,1012.1,
2022-02-02,25.4,19.9,29.5,0,,50,10.8,,1010.6,
2022-02-03,23.7,19.8,30.3,8.9,,124,15.1,,1009.8,
2022-02-04,23.3,20.6,25.8,0,,116,9.9,,1008,
2022-02-05,21.4,17.7,26.1,0,,209,11.7,,1008.6,
2022-02-06,18.3,14.2,22.8,0.5,,229,13.2,,1015,
2022-02-07,20.2,16,24.5,0,,155,12.8,,1018,
2022-02-08,21,17.8,25.3,0,,101,10.9,,1017.6,
2022-02-09,22.2,18.9,26.5,0,,64,15.7,,1014.4,
2022-02-10,24.1,20.4,27.7,0,,55,16.1,,1010.3,
2022-02-11,23.6,18,28.2,1.2,,95,14.8,,1013,
2022-02-12,18.2,13.9,29.5,1.9,,166,16.8,,1018.5,
2022-02-13,20.1,12.8,27.3,0,,213,8.3,,1014.3,
2022-02-14,23.9,17.3,28.6,0,,295,9.6,,1011.2,
2022-02-15,25.1,20.9,29.9,0,,2,11.3,,1012.4,
2022-02-16,27.1,23.5,31.6,0.2,,17,10.5,,1012.2,
2022-02-17,22.1,18.3,31.8,0,,129,25.1,,1016.3,
2022-02-18,20.9,17.4,24.9,0,,113,21,,1013.5,
2022-02-19,23.2,20.4,26,0,,86,19.6,,1009.1,
2022-02-20,21.6,18.7,27.1,21.5,,149,13.6,,1007.4,
2022-02-21,22.2,17.8,27.2,0,,183,11.1,,1014,
2022-02-22,22,17.6,27.3,0,,133,8.7,,1017.9,
2022-02-23,22.4,18,25.3,0,,105,17.9,,1015.6,
2022-02-24,22.2,20.6,25,21.2,,23,17.9,,1011,
2022-02-25,22.8,17.6,26.6,0,,351,7.7,,1014.9,
2022-02-26,24.3,22.6,27.7,25.5,,14,10.7,,1012.4,
2022-02-27,23.1,21.8,25.6,246.9,,339,13.7,,1007.2,
2022-02-28,23.8,20.3,28.9,0,,221,8.3,,1010.4,
2022-03-01,21.4,16.8,29.2,0,,10,17.3,,1013.5,
2022-03-02,24.2,18.9,30.6,0,,283,14.9,,1010.2,
2022-03-03,22.8,19,31.1,0,,103,24.1,,1012.9,
2022-03-04,23.4,21.3,25.6,10.9,,50,10.4,,1010.6,
2022-03-05,23.7,21.5,26.1,5.7,,105,12,,1009.4,
2022-03-06,23.1,20.8,25.1,0,,102,18.9,,1008.9,
2022-03-07,22.8,16.3,26.2,14,,254,15.2,,1006.3,
2022-03-08,22.6,17.8,27,0,,106,9.6,,1013.8,
2022-03-09,21,18.5,26.1,10.9,,10,11.7,,1014.2,
2022-03-10,20.3,17.3,23.1,0.2,,137,15.2,,1014.4,
2022-03-11,20.1,15.7,23.7,0,,212,9,,1017.8,
2022-03-12,19.6,15.1,24.5,0,,100,8.9,,1019,
2022-03-13,20.2,15.9,22.8,0,,63,9.3,,1018.9,
2022-03-14,21.3,15.8,25.2,0,,339,11.5,,1015,
2022-03-15,23.4,19,28.7,0,,333,11.2,,1014.8,
2022-03-16,24.1,19.8,29.1,0,,355,10.1,,1013.3,
2022-03-17,24.8,21.3,28.1,0.2,,0,8.8,,1008.8,
2022-03-18,18.7,11.5,28.6,7.1,,165,17.1,,1017.4,
2022-03-19,15.3,11.4,19.4,6.1,,139,11,,1024.6,
2022-03-20,17.5,13,20.2,0,,92,17,,1025.8,
2022-03-21,18.5,15.3,21.6,2.6,,62,22.5,,1020.3,
2022-03-22,20.4,16.3,22.5,2.2,,44,15.6,,1013.2,
2022-03-23,22.1,19,24,5,,45,14.6,,1006.7,
2022-03-24,17.3,11.9,24.3,17,,308,26.3,,1001,
2022-03-25,14.8,10.1,21.1,6.1,,240,11.5,,1002.9,
2022-03-26,19.3,12,24.1,3,,240,9.5,,1007.6,
2022-03-27,21,14,27.7,0,,294,8.1,,1012.5,
2022-03-28,21.4,16.7,28.6,0,,348,9.1,,1014.2,
2022-03-29,21.8,19.3,28.2,2.9,,301,13.4,,1007.7,
2022-03-30,14.3,9.5,28.7,0,,230,13.4,,1017.4,
2022-03-31,14.3,9.3,19,0,,238,6.2,,1024.3,
2022-04-01,15.2,11.6,20.1,0,,12,8.8,,1026.4,
2022-04-02,17.8,14,21.4,0,,24,16.2,,1021,
2022-04-03,19.3,15.5,23.3,0,,351,12.4,,1014.2,
2022-04-04,16.8,11.8,24.1,0,,178,9.2,,1017.5,
2022-04-05,16.8,11.2,21.3,0,,335,7.7,,1017,
2022-04-06,19.6,15,24.5,0,,358,7.2,,1014.8,
2022-04-07,20.6,17.6,24.8,0,,86,9.1,,1014.9,
2022-04-08,20.1,18.1,22.3,0,,104,18,,1016,
2022-04-09,19.8,17.4,22.6,0,,96,14.2,,1015.4,
2022-04-10,21.5,18.5,24.8,0.4,,55,10.4,,1011.4,
2022-04-11,20.4,17.3,25.6,20.1,,255,9.8,,1007.3,
2022-04-12,17.7,13.3,24.7,0,,267,8.5,,1011.9,
2022-04-13,16.5,11.3,22.6,0,,227,6.6,,1017.9,
2022-04-14,16.3,12.4,21.2,0,,123,9.5,,1022.6,
2022-04-15,16,13.7,19.8,0,,91,12.8,,1022.5,
2022-04-16,18.2,13.2,20.9,0,,47,14.3,,1023,
2022-04-17,19,16.8,21.1,0.1,,60,12.4,,1022.6,
2022-04-18,19.1,17.2,21.1,0.8,,76,16.4,,1019.6,
2022-04-19,19.8,17.5,22.5,0,,60,11.4,,1016.8,
2022-04-20,20.6,16.2,24,0,,35,7.4,,1015.1,
2022-04-21,18.2,13.8,24.5,3,,257,7.3,,1012.4,
2022-04-22,15.9,14.4,22.6,6.1,,293,12.8,,1006.8,
2022-04-23,15.1,9.3,20.8,0.5,,313,13.2,,1007.2,
2022-04-24,17.6,12.3,22.4,0,,348,14.6,,1007.8,
2022-04-25,20.6,16,23.5,38.1,,76,16.7,,1005.9,
2022-04-26,20.2,18.5,24.1,0,,49,12.5,,1004.6,
2022-04-27,19.1,14.3,25.4,10.9,,199,13.1,,1005.8,
2022-04-28,15.4,11.6,21.1,0,,198,10,,1019.2,
2022-04-29,11.5,8.3,17.8,0,,179,7.1,,1027.1,
2022-04-30,12.6,9.7,15.6,0,,107,7.8,,1021.1,
2022-05-01,14.6,9.5,18.8,0,,188,9,,1017.5,
2022-05-02,13.3,9.5,19.1,0.4,,139,15.3,,1022.7,
2022-05-03,12.7,9,16.7,0,,149,5.7,,1023.2,
2022-05-04,14,9.8,18,0,,325,7.7,,1020.8,
2022-05-05,15.7,11.2,19.3,0,,334,8.5,,1020.3,
2022-05-06,17.7,13.3,21.9,0,,337,8.7,,1021.6,
2022-05-07,18.3,14.4,22.4,0,,340,9.4,,1021.9,
2022-05-08,18.4,14.8,22.1,0,,343,9.5,,1018.9,
2022-05-09,17.2,13.1,21.9,0,,79,7.8,,1019.6,
2022-05-10,16.6,14.3,20.6,0,,136,9.2,,1018.1,
2022-05-11,14.6,10.9,20,0,,143,13,,1021,
2022-05-12,13.7,10.1,17.1,0,,109,13.4,,1020.5,
2022-05-13,15.8,12.5,18.2,0,,7,12.8,,1018.3,
2022-05-14,16.3,13.8,19.7,0,,203,7.5,,1019.1,
2022-05-15,12.8,9.3,19.8,0,,211,12,,1021.1,
2022-05-16,12.8,10.2,15.7,0,,212,15.5,,1021.1,
2022-05-17,11.8,8.8,15.8,0,,200,15.7,,1022,
2022-05-18,11.8,8.9,15.4,0,,178,11.3,,1025,
2022-05-19,11.4,7.8,15.8,0,,12,7.2,,1021.6,
2022-05-20,12.8,8.2,17.6,0,,321,11.4,,1017.9,
2022-05-21,14.9,10,19.6,0,,312,7.2,,1019.7,
2022-05-22,14.2,10.1,21.1,0,,344,7.5,,1019.3,
2022-05-23,15.2,11.9,18.1,0,,33,8.6,,1016.3,
2022-05-24,16.2,13.1,20.1,0,,342,9.9,,1014.4,
2022-05-25,12.6,9.6,20.5,4.1,,147,18.3,,1019.6,
2022-05-26,10.4,7.4,13.5,,,135,17.1,,1024.6,
2022-05-27,12.5,8.8,14.2,,,118,10.9,,1018.8,
2022-05-28,11.9,10.2,15.1,0,,112,8.4,,1015.2,
2022-05-29,10.4,6.6,13.1,0,,217,8.9,,1015.1,
2022-05-30,7.9,4.1,11.8,0,,228,9,,1019.7,
2022-05-31,8.3,4.4,12.4,0,,263,5.5,,1022.4,
2022-06-01,9.3,5.3,12.3,0,,219,4.5,,1022.5,
2022-06-02,9.2,5.5,13.2,0,,131,6.3,,1024.9,
2022-06-03,9.7,7.3,12.2,0,,77,12.6,,1026.4,
2022-06-04,11.5,8.8,15,0,,56,13.2,,1020.3,
2022-06-05,12.4,9.1,15.1,0,,357,3.9,,1016.5,
2022-06-06,10.9,9.2,14.8,0,,48,6.1,,1016.8,
2022-06-07,9.4,7.3,13.1,0,,343,7.4,,1016.1,
2022-06-08,9.9,7.3,11.5,0,,336,7.3,,1017.3,
2022-06-09,11.3,7.6,15.7,0.6,,256,7.3,,1019.5,
2022-06-10,8.4,4.2,16.1,0,,219,11.1,,1026.4,
2022-06-11,9.3,4.4,15,0,,246,7.5,,1024.2,
2022-06-12,10.8,6,15.7,0,,6,3,,1023.8,
2022-06-13,11.5,7.4,15.7,0,,4,7.7,,1022.4,
2022-06-14,12.8,9.3,16.2,0,,29,12.6,,1017.5,
2022-06-15,12.7,9.6,15.6,0,,15,5.9,,1016.2,
2022-06-16,12.7,9.1,16.2,0,,73,5.8,,1013.4,
2022-06-17,9.3,5.8,17.2,0,,229,12.8,,1012.7,
2022-06-18,9.2,3.4,16.4,0,,289,11.3,,1017.9,
2022-06-19,11.8,5.5,17.6,0,,303,14.7,,1017.5,
2022-06-20,11,7.5,18,0,,109,10.1,,1017.1,
2022-06-21,11.8,8.5,15.3,0,,138,16.6,,1016.3,
2022-06-22,7.9,4.9,15.5,0.2,,147,18.7,,1020.9,
2022-06-23,8.2,5,10.3,0,,125,13.5,,1021.8,
2022-06-24,9.8,6.8,11.1,0,,120,14.6,,1025.1,
2022-06-25,8.5,5.7,11.5,0,,150,8.7,,1031.6,
2022-06-26,8.9,5.8,12.1,0,,69,14,,1025.9,
2022-06-27,9.8,8.3,11.5,0.7,,338,10,,1018.1,
2022-06-28,12.3,8.8,15.6,0,,246,5.4,,1017.3,
2022-06-29,12.9,7.8,18.4,0,,313,13.4,,1014.3,
2022-06-30,12.6,9.3,19.1,0,,327,7.5,,1018,
2022-07-01,11.1,9.2,15.3,7.8,,34,14.9,,1011.1,
2022-07-02,11.1,8.2,13.7,4.1,,240,8,,1014.7,
2022-07-03,8.9,4.7,14.3,0,,53,9.3,,1022,
2022-07-04,11.2,5.8,13.1,0,,114,13.8,,1016.9,
2022-07-05,11.2,9.6,13,0,,111,12.2,,1018.2,
2022-07-06,11.1,9,13.8,0.4,,75,10.7,,1010.1,
2022-07-07,11.9,7.9,14.2,1,,238,9.1,,1016.8,
2022-07-08,10.2,5.1,14.8,0,,92,15.3,,1021.1,
2022-07-09,13.2,10.3,16.6,0,,59,10.9,,1009.5,
2022-07-10,17.4,12.2,21.1,0,,283,11.1,,1004.5,
2022-07-11,11.7,9.3,21.5,0,,168,14.9,,1011.9,
2022-07-12,8.5,4.6,12.5,0,,261,11.6,,1019.7,
2022-07-13,10.7,5.2,14,0,,2,16.8,,1017.2,
2022-07-14,12.1,8.2,14.4,0.8,,97,12.5,,1010.6,
2022-07-15,11.2,8.5,14.2,0,,188,8.4,,1009.1,
2022-07-16,10.2,8.4,12.7,0,,192,13.7,,1011.7,
2022-07-17,8.3,2.3,13.7,0,,299,12.5,,1018.9,
2022-07-18,11.1,4.6,17,0,,274,12.5,,1022.5,
2022-07-19,10.7,6.8,17.7,0,,95,9.4,,1025.2,
2022-07-20,12.4,8.4,15.4,0,,2,11.2,,1014.8,
2022-07-21,14.6,9.5,20,0,,174,12.4,,1013.3,
2022-07-22,11.9,10,19.5,0,,119,12.8,,1015.2,
2022-07-23,13.4,9.1,17.2,0,,91,10.8,,1013.7,
2022-07-24,14.2,12.5,15.3,0,,123,19,,1015.9,
2022-07-25,13.5,11.8,15.7,7.1,,122,22.4,,1017.6,
2022-07-26,16.7,11.8,19.9,6.1,,115,12.4,,1015.9,
2022-07-27,16.8,15.1,20.8,9.9,,120,18.5,,1012.1,
2022-07-28,13.6,10.4,18.4,1,,218,12.7,,1013.4,
2022-07-29,11.5,6.8,17.5,0,,268,8,,1018,
2022-07-30,12.9,8,18.1,0,,352,7.2,,1017.7,
2022-07-31,14.1,9.4,17.2,0,,53,8.2,,1018.4,
2022-08-01,13.6,10.3,17.4,0,,88,9.8,,1018.1,
2022-08-02,13.5,10.6,16.6,0,,90,17,,1017.4,
2022-08-03,12.6,10.2,15.6,0,,163,9.1,,1015.7,
2022-08-04,10.7,8,16.1,0,,181,11.9,,1016,
2022-08-05,10.8,5.8,16.7,0,,260,6.5,,1019.3,
2022-08-06,12.3,7.5,17.1,0,,71,15.2,,1021.2,
2022-08-07,11.5,9.6,15.6,0,,110,26.5,,1023.9,
2022-08-08,10.6,7.4,13.5,0.4,,126,19.7,,1027.5,
2022-08-09,11.7,8.6,14.5,0,,107,15.9,,1031.3,
2022-08-10,11.1,8.2,13.6,0,,48,15.1,,1027.7,
2022-08-11,13,9.7,16.1,0,,2,16.1,,1022.4,
2022-08-12,14.1,10.3,16.7,0,,28,12.3,,1017.4,
2022-08-13,15.8,12.1,19.7,0,,48,8.3,,1017.2,
2022-08-14,16.7,14.1,20.3,0.7,,52,10.1,,1010,
2022-08-15,15.7,12.6,20.7,0,,239,12.4,,1005.5,
2022-08-16,13.5,7.5,19.5,0,,305,14.3,,1008.6,
2022-08-17,12.8,10.1,20.4,0,,245,9.2,,1009.2,
2022-08-18,9.1,4.3,14.6,0,,222,11.3,,1021.9,
2022-08-19,11.1,5.9,17.8,0,,295,13.9,,1028.6,
2022-08-20,11.4,6.1,18.1,0,,337,13.3,,1028,
2022-08-21,11.8,7.4,16.8,0,,338,5.9,,1028.1,
2022-08-22,11.1,9.3,16.1,0,,95,19.2,,1026.1,
2022-08-23,13.3,10.1,17.1,0,,49,12.7,,1020.5,
2022-08-24,15.4,11.3,20,0,,50,7,,1018,
2022-08-25,17.1,13.8,20,0,,70,4.7,,1016.6,
2022-08-26,17,14.6,20.8,1.2,,66,8.2,,1013.4,
2022-08-27,17.3,9.1,20.2,18,,224,15.4,,1013.8,
2022-08-28,9.2,4.8,18.6,0,,185,10.7,,1032.9,
2022-08-29,10.2,6,13.8,0,,341,11.2,,1033.2,
2022-08-30,12.7,8.2,15.9,0,,36,17.6,,1026.4,
2022-08-31,15.2,10.8,17.1,0,,84,15.2,,1017.4,
2022-09-01,15.8,15,17.9,1.3,,70,7,,1012.7,
2022-09-02,13.4,7.4,17.7,0,,189,14.6,,1022.6,
2022-09-03,12.6,7.3,17.6,0,,18,8.8,,1027.5,
2022-09-04,14.3,9.4,18.8,0,,336,11.9,,1025.8,
2022-09-05,15,10.3,19.7,0,,353,9.4,,1025,
2022-09-06,15.6,13.1,18.5,0,,36,12.5,,1019.9,
2022-09-07,17.6,14.2,21.3,0,,18,11.8,,1009.9,
2022-09-08,17.8,10.8,21.6,18.4,,64,14.2,,1006.3,
2022-09-09,10.7,7.4,21.5,9.9,,199,15.4,,1017.4,
2022-09-10,12.4,6.3,18.6,0,,286,7.8,,1023.4,
2022-09-11,13.4,8.6,19,0,,25,12,,1021.8,
2022-09-12,14,11.2,17.2,0,,63,10,,1018.7,
2022-09-13,13.8,10.8,16.6,0,,105,11.5,,1020.1,
2022-09-14,14.9,11.6,17.1,0,,69,10.8,,1025,
2022-09-15,15.8,12.8,19,0,,44,14.1,,1024.6,
2022-09-16,17.4,13.4,20.7,0,,29,17.9,,1021.7,
2022-09-17,18.5,14.9,22.2,0,,53,15,,1017.5,
2022-09-18,17.6,15.3,22.7,0.1,,88,14.4,,1013.8,
2022-09-19,18.4,15.6,22,0,,233,10.1,,1014,
2022-09-20,12.7,8.8,22.6,4.2,,122,13.2,,1018,
2022-09-21,14.1,9.9,16.8,0,,122,15.8,,1017.9,
2022-09-22,14.3,10.3,18.5,0,,246,9.5,,1018.4,
2022-09-23,13.5,8.4,19.1,3,,43,7.8,,1019.9,
2022-09-24,16.3,11.8,20.4,0,,37,14.5,,1019.5,
2022-09-25,16.7,13.3,20.8,0,,74,15.9,,1017.6,
2022-09-26,17,14.6,20.4,0.3,,41,8.7,,1013.8,
2022-09-27,18.2,13.7,22.5,0,,85,11.9,,1020.4,
2022-09-28,14.2,11.8,23.1,0,,120,24.8,,1029.6,
2022-09-29,14.2,11,17.1,0,,89,23.4,,1027.8,
2022-09-30,15.4,12.4,18,0,,81,17.9,,1023.1,
2022-10-01,16.7,12.9,19.7,0,,60,10.7,,1021.8,
2022-10-02,17.8,13.2,22,0,,32,13.5,,1022.8,
2022-10-03,14.6,11,22.1,0,,116,25.1,,1022.3,
2022-10-04,14.9,11.3,18.4,0,,84,26.7,,1017.3,
2022-10-05,17.1,13.6,20.3,0,,81,20.9,,1014.6,
2022-10-06,17.7,14.3,22.4,0,,172,9.7,,1009.7,
2022-10-07,19.8,12.5,27.5,0,,284,11.9,,1007,
2022-10-08,16.9,9.4,28.6,0,,251,16.3,,1008.1,
2022-10-09,12.9,6.3,20.2,0,,253,9.9,,1020.6,
2022-10-10,14.9,10.3,21.1,0,,32,13.1,,1023.5,
2022-10-11,15.6,12.8,19.4,0,,47,15,,1020.1,
2022-10-12,18.8,11.4,28.8,0,,331,17.5,,1012.4,
2022-10-13,18.1,11.3,29.1,0.1,,163,18.8,,1019.5,
2022-10-14,13.4,11.1,15.7,0,,91,26.3,,1030.4,
2022-10-15,13.8,12.2,16.4,0.6,,101,17.4,,1028.4,
2022-10-16,15.3,12.3,18.2,7.1,,127,21.7,,1024.2,
2022-10-17,16.4,14.1,18.7,0,,110,34.2,,1026.1,
2022-10-18,17.3,14.8,20.8,0,,107,29.5,,1024,
2022-10-19,18.5,15.8,21.1,0,,99,19.1,,1017.4,
2022-10-20,19.5,17.7,21.2,6.5,,72,8.7,,1010.4,
2022-10-21,18.7,15.5,20.6,0,,140,15.7,,1011.5,
2022-10-22,13.6,10.8,21.7,5.1,,165,16.7,,1020.4,
2022-10-23,15,11.1,18,0.2,,127,19,,1022.1,
2022-10-24,18.3,14.3,22,0,,66,17.4,,1018.4,
2022-10-25,20.4,17.2,24.7,0,,60,17,,1012.6,
2022-10-26,20.4,17.1,25.6,5.1,,301,16.3,,1004.3,
2022-10-27,21.4,15.3,27.9,0,,257,12.3,,1008,
2022-10-28,25.1,17.2,33.6,0,,320,15.9,,1005.7,
2022-10-29,23.4,20.3,34.6,2,,32,15,,1001.8,
2022-10-30,17,11.7,30.1,0,,168,15.9,,1008,
2022-10-31,12.6,7.8,16.8,0.8,,190,15.7,,1027.3,
2022-11-01,14.7,9.3,19.3,0,,100,9.5,,1030.6,
2022-11-02,18.9,11.8,24,0,,9,10.1,,1029.4,
2022-11-03,20.3,16.2,24.7,0,,77,14.8,,1027.8,
2022-11-04,18.5,14.8,23.7,0,,83,24.5,,1025.5,
2022-11-05,19.2,15.8,22.8,0,,72,25.2,,1023.6,
2022-11-06,20,16,23.9,0,,76,24.7,,1024.2,
2022-11-07,20.3,16,23.5,0,,63,23.8,,1024.1,
2022-11-08,20.1,15.8,24.4,0,,58,22.3,,1021.2,
2022-11-09,20.6,16.6,24.5,0,,52,19.1,,1016.5,
2022-11-10,21.4,17.3,24.7,0,,68,14.5,,1014.2,
2022-11-11,22.2,18.8,26.5,0,,91,16.7,,1012.7,
2022-11-12,22.8,20.2,27.6,0,,73,13.6,,1010,
2022-11-13,22.2,18.8,26.8,10,,113,16.8,,1005.5,
2022-11-14,18.9,15.6,25.1,18,,223,12.8,,1003.9,
2022-11-15,24.2,15.9,32.3,0,,243,9.1,,1010.9,
2022-11-16,24.9,19.4,32.7,0,,13,7.4,,1015.5,
2022-11-17,24.9,21.1,29.6,0,,102,20.2,,1017.5,
2022-11-18,24.5,21.3,29.6,0,,104,20.8,,1014.2,
2022-11-19,25.8,22.5,29.3,1.4,,10,10.6,,1009.2,
2022-11-20,25.4,18.9,29.8,0,,134,11.9,,1009,
2022-11-21,17.4,14.7,29.5,15,,182,12.4,,1014,
2022-11-22,18.4,13.3,23.4,2,,198,9.2,,1014.5,
2022-11-23,21.9,14.8,27.9,0,,326,13.6,,1011.4,
2022-11-24,25,18.5,31,0,,347,11.9,,1012,
2022-11-25,21.8,17.8,31.9,0,,120,25.3,,1019.4,
2022-11-26,22.8,20.1,27.4,0,,101,21.2,,1018.7,
2022-11-27,24.6,21.7,28.4,0,,80,19.5,,1018.2,
2022-11-28,25.4,22.3,29.1,0,,71,16.3,,1013.3,
2022-11-29,26.3,22.7,30.7,0,,32,15.7,,1007.5,
2022-11-30,25.8,21.3,32.1,0.8,,83,12.9,,1006.1,
2022-12-01,20.8,17.8,28.1,26.9,,176,13.1,,1009.7,
2022-12-02,20,15.6,24.4,0,,112,14,,1013.8,
2022-12-03,21.7,18.6,24.9,0,,76,15.7,,1012.1,
2022-12-04,23.8,18.8,27.7,0,,51,9.8,,1010.3,
2022-12-05,26.3,23.1,31.4,0,,60,13,,1011.6,
2022-12-06,27.4,23.2,32.2,0,,40,15.6,,1011.9,
2022-12-07,28.3,24.4,32.2,0,,28,12.2,,1009.6,
2022-12-08,28.1,21.1,33.3,3,,353,11.2,,1005.8,
2022-12-09,29.5,22.8,34.8,0,,34,12.5,,1005.2,
2022-12-10,25,21.6,34.6,27.9,,112,26.1,,1011.3,
2022-12-11,28.4,23.8,34.7,0,,338,18.5,,1006.4,
2022-12-12,22.9,18.4,35.9,2,,128,13.8,,1007.9,
2022-12-13,21.6,16.8,26.3,1,,41,10,,1011.9,
2022-12-14,26,20.5,30.3,0,,6,12.3,,1009.1,
2022-12-15,24.9,18.6,30.7,5.1,,134,19,,1014,
2022-12-16,20.4,17.3,28.7,0,,118,22.2,,1017.8,
2022-12-17,20.8,17.4,23.9,0,,81,25.5,,1014.9,
2022-12-18,22.8,19.5,26.4,0,,72,20.2,,1015.6,
2022-12-19,23.7,20.4,27.2,0,,74,19.9,,1016.2,
2022-12-20,24.6,21.6,28.5,0,,85,22.1,,1015.9,
2022-12-21,24.2,20.8,29.6,0,,83,21.7,,1015.8,
2022-12-22,25.3,21.7,29,0,,74,19.3,,1012.2,
2022-12-23,24.1,21.1,30.1,7.9,,67,13.8,,1010.2,
2022-12-24,20.7,17.6,26.9,23.9,,181,11.7,,1014.1,
2022-12-25,18.5,13.7,23.1,0,,179,9.1,,1018.6,
2022-12-26,21.7,16.4,25.7,0,,2,10.5,,1015.3,
2022-12-27,24.7,19.2,28.7,0,,347,11.3,,1011.4,
2022-12-28,25.7,20.8,30.4,0.2,,224,14.8,,1010.1,
2022-12-29,23,18.7,31.1,0,,43,12.1,,1014,
2022-12-30,26.8,21.3,31.9,0,,354,14.2,,1009.3,
2022-12-31,26,23.1,35.1,0,,124,24.1,,1012.2,
